eid,qid
1,1
1,10
1,23
1,39
1,52
1,74
1,88
1,104
1,117
1,140
1,159
1,214
1,266
1,318
1,330
1,354
1,377
1,391
1,416
1,442
1,479
1,495
1,510
1,539
1,562
2,2
2,11
2,24
2,45
2,59
2,75
2,89
2,109
2,120
2,141
2,165
2,218
2,267
2,319
2,333
2,365
2,378
2,396
2,424
2,443
2,480
2,499
2,517
2,540
2,565
3,4
3,12
3,26
3,46
3,55
3,81
3,92
3,110
3,122
3,144
3,166
3,219
3,268
3,321
3,334
3,371
3,379
3,397
3,436
3,454
3,481
3,503
3,520
3,543
3,567
4,5
4,13
4,31
4,47
4,53
4,82
4,95
4,111
4,123
4,146
4,197
4,223
4,269
4,322
4,336
4,372
4,385
4,399
4,437
4,455
4,483
4,504
4,525
4,548
4,568
5,6
5,14
5,32
5,48
5,60
5,83
5,96
5,112
5,124
5,150
5,203
5,250
5,309
5,326
5,337
5,373
5,386
5,400
5,438
5,456
5,486
5,505
5,527
5,556
5,572
6,7
6,15
6,34
6,49
6,61
6,85
6,97
6,113
6,125
6,152
6,204
6,262
6,310
6,327
6,339
6,374
6,387
6,401
6,439
6,458
6,487
6,507
6,528
6,559
6,592
7,8
7,19
7,37
7,50
7,72
7,86
7,98
7,115
7,126
7,157
7,207
7,263
7,311
7,328
7,352
7,375
7,388
7,402
7,440
7,462
7,490
7,508
7,529
7,560
7,596
8,9
8,20
8,38
8,51
8,73
8,87
8,100
8,116
8,127
8,158
8,213
8,265
8,317
8,329
8,353
8,376
8,389
8,415
8,441
8,478
8,492
8,509
8,538
8,561
8,600
